Prod No.,Shop,Product,Price,Stock
1,Mcdonalds,McChicken,110,50
2,Mcdonalds,Big Mac,170,50
3,Mcdonalds,Nuggets,100,50
4,Mcdonalds,Fries,70,50
5,Jollibee,ChickenJoy,80,50
6,Jollibee,Burger Steak,60,50
7,Jollibee,Shangahi Rolls,75,50
8,Jollibee,Spaghetti,55,50
9,Macau Imperial Tea,Pearl and Cheesecake,120,50
10,Macau Imperial Tea,Taro ,100,50
11,Macau Imperial Tea,Chocolate,110,50
12,Macau Imperial Tea,Oreo Cheesecake,115,50
13,Red Ribbon,Dedication cake,400,50
14,Red Ribbon,Black Forest cake,600,50
15,Red Ribbon,Sansrival,700,50
16,Red Ribbon,Ube Macapuno,500,50
