Prod No.,Shop,Product,Price,Stock
1,Mercury Drug,Paracetamol,14,70
2,Mercury Drug,Alaxan,12,70
3,Mercury Drug,Buscopan,8,70
4,Mercury Drug,Ceterizine,20,70
5,Generika,Bioflu,17,70
6,Generika,Lagundi,35,70
7,Generika,Neozep,22,70
8,Generika,Decolgen,26,70
9,Generic's Pharmacy,Centrum,28,70
10,Generic's Pharmacy,Enervon,17,70
11,Generic's Pharmacy,Poten Cee,16,70
12,Generic's Pharmacy,Tempra,25,70
13,Watsons,Biogesic,24,70
14,Watsons,Dofenal,16,70
15,Watsons,Diatabs,18,70
16,Watsons,Claritin,19,70
